Cell line,Target 1,Target 2,Treatment,Nucleus,Dots,Dots/Nuclea
MDA-MB-231,ER,ZMIZ1,Ethanol,19,69,3.631578947
MDA-MB-231,ER,ZMIZ1,Ethanol,35,104,2.971428571
MDA-MB-231,ER,ZMIZ1,Ethanol,17,65,3.823529412
MDA-MB-231,ER,ZMIZ1,Ethanol,9,24,2.666666667
MDA-MB-231,ER,ZMIZ1,Ethanol,11,62,5.636363636
MDA-MB-231,ER,IgG,Fulvestrant,13,10,0.769230769
MDA-MB-231,ER,IgG,Fulvestrant,11,14,1.272727273
MDA-MB-231,ER,IgG,Fulvestrant,12,15,1.25
MDA-MB-231,ER,IgG,Fulvestrant,11,8,0.727272727
MDA-MB-231,ER,IgG,Fulvestrant,15,12,0.8
MDA-MB-231,ER,IgG,Fulvestrant,14,17,1.214285714
MDA-MB-231,ER,IgG,Fulvestrant,18,19,1.055555556
MDA-MB-231,ER,IgG,Fulvestrant,19,15,0.789473684
MDA-MB-231,ER,IgG,Ethanol,15,11,0.733333333
MDA-MB-231,ER,IgG,Ethanol,15,13,0.866666667
MDA-MB-231,ER,IgG,Ethanol,16,12,0.75
MDA-MB-231,ER,IgG,Ethanol,14,20,1.428571429
MDA-MB-231,ER,IgG,Ethanol,18,6,0.333333333
MDA-MB-231,ER,IgG,Ethanol,16,16,1
MDA-MB-231,ER,IgG,Ethanol,12,18,1.5
MDA-MB-231,ER,IgG,Ethanol,13,26,2
